,click_through_rate,conversion_rate,view_time,cost_per_click,ROI,hour_of_day,day_of_week,day_of_month,month,is_month_start,is_month_end,is_weekend,time_of_day,is_holiday,age_group_encoded,engagement_level_encoded,device_type_Mobile,device_type_Tablet,location_Germany,location_India,location_UK,location_USA,gender_Male,content_type_Text,content_type_Video,ad_topic_Electronics,ad_topic_Fashion,ad_topic_Health,ad_topic_Travel,ad_target_audience_Fitness Lovers,ad_target_audience_Tech Enthusiasts,ad_target_audience_Travel Lovers,ad_target_audience_Young Adults
0,0.0105881015454591,0.0657,21,0.35,0.2,22,1,18,11,0,0,0,3,0,4,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1
1,0.0221952442272127,0.0237,28,0.15,0.35,5,2,12,11,0,0,0,0,0,3,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0
2,0.0817244822091468,0.1055,47,1.28,0.67,5,2,22,10,0,0,0,0,0,0,15,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0
3,0.1239948640524177,0.0332,55,1.2,0.34,14,6,2,3,1,0,1,2,0,1,5,0,0,0,0,0,1,1,0,1,0,0,1,0,1,0,0,0
4,0.044757372572763,0.1258,40,0.67,0.84,9,4,25,7,0,1,0,1,0,1,50,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0
5,0.0105870822695937,0.131,13,0.98,0.14,20,6,29,6,0,1,1,3,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0
6,0.0408980199446774,0.0406,11,1.31,0.13,13,1,27,5,0,1,0,2,0,3,5,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1
7,0.0486866059366408,0.0997,28,0.52,0.93,1,0,3,3,1,0,0,0,0,2,50,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0
8,0.1448088973344233,0.01,51,0.52,0.28,5,0,30,6,0,1,0,0,0,0,50,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0
9,0.1162093320928203,0.1008,44,0.98,1.2,3,5,1,3,1,0,1,0,0,3,5,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1
10,0.1129050470980107,0.1068,45,0.55,2.19,18,1,23,12,0,0,0,3,0,4,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0
11,0.1490457191872641,0.1397,36,0.37,5.63,16,2,20,8,0,0,0,2,0,0,50,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0
12,0.1068708453263587,0.0804,31,0.37,2.32,3,2,8,1,0,0,0,0,0,3,15,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0
13,0.1399016767906327,0.1204,14,0.83,2.03,11,0,8,9,0,0,0,1,0,0,5,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,1,0
14,0.0962777936568819,0.137,50,1.0,1.32,9,2,3,12,1,0,0,1,0,1,50,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0
15,0.0445930804496711,0.1452,48,0.21,3.08,11,2,12,11,0,0,0,1,0,2,5,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0
16,0.0544025177606792,0.0562,45,0.55,0.56,11,2,8,1,0,0,0,1,0,0,50,1,0,0,0,1,0,1,1,0,0,0,0,1,0,0,1,0
17,0.1449224581971549,0.0131,59,1.27,0.15,15,5,8,3,0,0,1,2,0,3,50,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0
18,0.0577002075443995,0.1489,31,1.0,0.86,22,0,24,11,0,1,0,3,0,1,5,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0
19,0.1206505469910394,0.0714,26,0.53,1.63,0,5,15,2,0,0,1,0,0,4,50,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
20,0.1456952240411272,0.0445,45,0.82,0.79,3,5,24,5,0,0,1,0,0,1,50,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0
21,0.1170970608989082,0.0241,52,0.13,2.17,13,4,19,12,0,0,0,2,0,4,15,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0
22,0.0237650342169603,0.1241,25,0.96,0.31,18,4,25,7,0,1,0,3,0,1,5,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
23,0.0461042590865851,0.0131,43,1.13,0.05,20,5,1,2,1,0,1,3,0,1,15,1,0,0,1,0,0,1,1,0,1,0,0,0,0,1,0,0
24,0.1198517728561564,0.1305,54,0.37,4.23,21,6,15,6,0,0,1,3,0,3,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
25,0.0759397575873877,0.0291,50,0.89,0.25,13,3,10,7,0,0,0,2,0,0,50,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0
26,0.0911155174821612,0.0113,17,0.53,0.19,19,5,1,2,1,0,1,3,0,2,5,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0
27,0.1454356997128406,0.0648,53,1.48,0.64,7,5,4,10,1,0,1,1,0,4,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0
28,0.0136621176600076,0.113,38,0.89,0.17,11,1,29,7,0,1,0,1,0,3,50,0,1,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0
29,0.0833073786567041,0.0373,12,1.24,0.25,4,1,3,6,1,0,0,0,0,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,0.1016211120482387,0.0578,60,0.74,0.79,12,3,12,6,0,0,0,2,0,0,50,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0
31,0.0313738171876618,0.1455,21,0.7,0.65,7,6,15,6,0,0,1,1,0,4,5,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1
32,0.1448433490657889,0.0603,16,0.12,7.28,8,5,8,2,0,0,1,1,0,2,50,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
33,0.0375909599911832,0.0749,49,0.97,0.29,11,0,5,5,1,0,0,1,1,1,15,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
34,0.0991294884307476,0.0831,32,0.37,2.23,6,2,12,3,0,0,0,1,0,1,0,1,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0
35,0.025016506512885,0.0951,41,1.45,0.16,22,4,14,11,0,0,0,3,0,1,5,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1
36,0.0706486667715945,0.0687,44,0.38,1.28,0,5,19,7,0,0,1,0,0,4,50,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0
37,0.0415100420435041,0.0151,13,1.22,0.05,20,3,21,8,0,0,0,3,0,4,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0
38,0.0399266762561268,0.0386,57,0.73,0.21,10,6,7,12,1,0,1,1,0,3,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1
39,0.0700303268095319,0.087,50,0.62,0.98,20,0,24,11,0,1,0,3,0,1,5,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
40,0.0953895380604325,0.1294,48,0.43,2.87,6,0,24,3,0,0,0,1,0,3,5,1,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0
41,0.0503926293259128,0.1436,56,0.16,4.52,8,3,5,6,1,0,0,1,0,0,5,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1
42,0.0743215662065149,0.0571,42,1.23,0.35,0,5,11,10,0,0,1,0,0,4,50,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0
43,0.065197979289637,0.1387,21,0.41,2.21,15,3,9,1,0,0,0,2,0,0,50,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0
44,0.1192168705080813,0.0418,51,1.17,0.43,19,6,14,12,0,0,1,3,0,2,50,0,1,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0
45,0.0623548034785709,0.0218,40,0.85,0.16,5,2,10,12,0,0,0,0,0,1,5,0,0,1,0,0,0,1,1,0,0,0,1,0,1,0,0,0
46,0.0700361169722352,0.0185,47,0.26,0.5,1,4,26,12,0,1,0,0,1,3,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,1,0,0
47,0.0510685777419979,0.052,16,1.46,0.18,20,1,28,10,0,1,0,3,0,2,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0
48,0.0904034830723639,0.1314,14,0.45,2.64,18,3,25,12,0,1,0,3,1,4,50,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,1
